,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
10,"Club Quarters
3.1",Junior Data Scientist,"Stamford, CT","Club Quarters Application- US

Junior Data Scientist
The Junior Data Scientist is a talented, creative, and motivated data scientist who loves data. The role is supporting our organization with data research and transformation for analytics. This individual will be responsible for ensuring data availability in a timely manner and data accuracy from many disparate systems for reporting and statistical analysis.

MAJOR DUTIES AND RESPONSIBILITIES
•
Build and maintain systems and processes by which we can review and verify the integrity and quality of our data before sharing with internal and external parties
Monitor real-time incoming data to detect anomalies and identify ways to improve our data collection and monitoring systems
REQUIRED QUALIFICATIONS
•
EDUCATION AND EXPERIENCE
KEY RELATIONSHIPS
Show More
Report",#N/A,501 to 1000 Employees,Company - Private,Hotel & Travel Accommodation,Hotels & Resorts,#N/A,Unknown / Non-Applicable
11,"Sunixa Solutions
4.9",Data Scientist,Remote,"Hi
Job title: Data Scientist
Location: Remote
Duration: Long term
Exp: 10+
Top Skills:
SQL, SAS, Python, STATA, Excel, QGIS, HIVE, HADOOP
Job Type: Contract
Show More
Report",#N/A,51 to 200 Employees,Company - Public,Information Technology,Information Technology Support Services,2015,$1 to $5 million (USD)
12,"Partyup
4.3",Game Data Scientist,Remote,"About Partyup

Partyup is a new mobile game studio that’s putting together a small team to make casual and multiplayer mobile games. The founding team has over 100 million combined downloads and 5 top 10 hits. We currently have a promising launched game called Block Jam that we are building a team to support.

Check out some of our previous games at partyupgames.com

Game Data Scientist

We're looking for a talented Game Data Scientist to join the team of our newly launched game Block Jam 3D. You will serve as the sole data scientist to help the game team make data informed decisions. We are primarily looking for a full-time hire but are also open to a freelance or contract position. Position can be remote, but you must be located in the United States.

What you will do
What you need to have
Nice to have
Show More
Report",#N/A,Unknown,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
13,"VITA TECH INC
5.0",Data Scientist,"Sunnyvale, CA","Role:Data Scientist
Location:- Sunnyvale,CA(onsite)
Must have skills:
Python,
Pandas,
Data Analysis
,Tableau
Job Type: Contract
Show More
Report",#N/A,51 to 200 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
14,"BOLD LLC
4.0","Data Scientist II, Product Analytics",Remote,"United States (Remote)
We are looking for a Data Scientist II, Product Analytics to join the Data Analytics team at BOLD! This team partners with Product, Marketing, and Finance to produce world-class analysis and provide recommendations that improve our products and increase customer engagement.
This role may work remotely from any of the following states: Arizona, California, Colorado, Connecticut, Florida, Georgia, Illinois, Iowa, Kentucky, Maryland, Massachusetts, Minnesota, Nevada, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Tennessee, Texas, Utah, Virginia, Washington
ABOUT THIS TEAM
Reporting to the Director of Product Analytics, the Data Scientist II, Product Analytics will provide critical insights to business partners and strategic support to the executive team. You will also have your fingers on the pulse of the business and develop metrics and reporting to keep the organization informed. Through your high-quality analysis and attention to detail, you will be the go-to person for product performance and insights. The ideal candidate is highly motivated and will use their technical skills and business acumen to quickly make an impact!











Show More
Report",#N/A,Unknown,Company - Private,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,#N/A,Unknown / Non-Applicable
15,"Vibrant Emotional Health
2.4",Data Scientist I,Remote,"Position Title: Data Scientist I
Department: IT
Reports to: Sr Data Scientist
Location: Remote
Schedule: 35 hours weekly
Salary Grade: $62k-98k
Position Overview
As a Data Scientist I, you will be responsible for working with supervision on coding and testing tools and assets to deliver high quality analytics.
Data Scientist help us maintain and improve our analytics priorities. You will help to support and clarify the organization’s reporting and analytics focuses by exploring data sets for patterns of interest, and contributing to the organization’s evolving data help desk infrastructure needs as they emerge. You will leverage R,Python and/or SQL for EDA, publish tools and findings in RStudio Connect and Tableau, and use CRM and task/project management tools such as Salesforce, Jira and Asana to track progress.


Show More
Report",#N/A,201 to 500 Employees,Non-profit Organisation,Non-profit & NGO,"Civic, Welfare & Social Services",#N/A,$5 to $25 million (USD)
16,"Advance Local
3.6",Data Scientist,Remote,"Diversity & Inclusion are at the core of our mission to strengthen and empower the communities we serve.

We are seeking a Data Scientist, you’ll play a critical role in building the next generation of automotive technology. Engaging with teams across the organization, you’ll help build and launch data products and solutions - from identifying problems, to defining and structuring data, to developing use-cases, to analyzing results. You’ll create a process around storing and cleaning data, designing models and algorithms, applying machine learning, and introducing and implementing exploratory techniques.

For this position we’re looking for candidates with:
Bachelor’s degree in statistics, mathematics, computer science or another quantitative field required; master’s degree preferred.
Minimum of two years’ experience manipulating data sets and building statistical models

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled
Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Media & Communication,Publishing,#N/A,Unknown / Non-Applicable
17,"Booz Allen Hamilton
4.2","Data Analyst, Junior","Troy, MI","The Challenge:Â
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured dataÂ open upÂ new opportunities. As a data analyst intern, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors â€” from fraud detection, to cancer research, to national intelligence â€” you know the answers are in the data.Â
We have an opportunity for you to use your analytical skills to improve our business. Youâ€™ll work closely with your customer to understand their questions and needs, and then dig into their data-rich environment to find the pieces of their information puzzle. Youâ€™ll apply analytical skills and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help clients make informed decisions. Youâ€™ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in consulting.
Salary at Booz Allen is determined by various factors, including but not limited to location, the individualâ€™s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $45,400.00 to $93,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allenâ€™s total compensation package for employees.

URT1
Show More
Report",#N/A,10000+ Employees,Company - Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD)
18,"MST Solutions
4.2",Data Scientist,"Sunnyvale, CA","3-5+ years of relevant experience in:
Creating SQL queries from scratch using real business data;
Highly proficient knowledge of Excel (pivot tables, VLOOKUP, formulas, functions)
Data analysis & manipulation
At least a Bachelor’s degree in Business Intelligence and Analytics or closely related field
Job Type: Contract
Salary: $55.00 - $65.00 per hour
Ability to commute/relocate:
Show More
Report",#N/A,201 to 500 Employees,Company - Private,Management & Consulting,Business Consulting,2012,$25 to $50 million (USD)
19,"ClaimReturn LLC
3.3",Data Analyst,Remote,"Become a leader in one of the most sought-after industries in the country from your home!
ClaimReturn, industry leader in artificial intelligence-driven, cost-recovery healthcare, is hiring for an experienced data analyst within our rapidly growing virtual, phone-based revenue recovery operations.
The Data Analyst is responsible for interpreting data, analyzing results using statistical techniques and providing ongoing reports. This role identifies, analyzes, and interprets trends, patterns or outliers in complex data sets to ensure work is connected to business objectives, delivered on time, and focused on outcomes. Experience with statistics and statistical packages for analyzing datasets required. Adept at queries, reporting writing, and presenting findings essential.
This position works closely with department leadership to prioritize business and information needs by developing, maintaining, and handling advanced reporting, analytics, dashboards, and other Bi solutions. Technical use of data models, database design development, data mining, and segmentation techniques required. The Data Analyst will also locate and define new process improvement opportunities. The position requires adeptness at software, analytic review, and easily flow from one priority to the next.
Show More
Report",#N/A,Unknown,Company - Private,Management & Consulting,Business Consulting,#N/A,Unknown / Non-Applicable
20,"MultiPlan Inc.
3.8",Junior Data Scientist (remote),Remote,"Imagine a workplace that encourages you to interpret, innovate and inspire. Our employees do just that by helping healthcare payers manage the cost of care, improve competitiveness and inspire positive change. You can be part of an established company with a 40-year legacy that helps our customers thrive by interpreting our client's needs and tailoring innovative healthcare cost management solutions.

Our commitment to diversity, inclusion and belonging are part of the fabric of our company. We strive to create a workplace that fosters mutual respect and collaboration, where every talent individual can participate and perform their best work. We are MultiPlan and we are where bright people come to shine!

This is a work-from-home position


















Show More
Report",#N/A,1001 to 5000 Employees,Company - Public,Healthcare,Healthcare Services & Hospitals,1980,Unknown / Non-Applicable
21,"Kani Solutions
4.7",MLOps Engineer / Data Scientist,Remote,"Principle Duties and Responsibilities:
Increase our deployment velocity, including the process for deploying models and data pipelines into production.
Improve the creation of dependable releases.
Build and maintain infrastructure as code (IaC) in the cloud, that can scale when needed.
Build and maintain data pipelines for analytics, model evaluation and training (includes versioning, compliance and validation)
Working on DevOps/Agile operations process and tools area (Code review, unit test automation, Build & Release automation, Environment, Service, Incident and Change Management)
Establish Automated Code Quality, Assembly Testing and Performance Testing Solutions on top of Continuous Integration Pipelines





Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2009,$5 to $25 million (USD)
22,"Scaleapi
3.6",Computer Science Expert AI Training - Data Engineering,Remote,"Freelance Software Developer

Are you interested in helping to train AI models to write better code?
How it works:
We have several open projects where we are looking for talented developers to help train generative artificial intelligence models to write better code.
You can work on all of our projects remotely. Hours are flexible, so you can work whenever is best for you.
Your earnings from ongoing projects are sent out weekly.
All you have to do is apply to this opportunity, and we will reach out to you with next steps if it’s a good mutual fit.
You Will:





Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable
23,"Avellino Lab USA Inc
3.0",Genomics Data Scientist,Remote,"Description:
Company Summary
Avellino, a global leader in precision medicine, is seeking a talented and independent Software Developer to join its subsidiary, Palmona Pathogenomics. Palmona provides the most advanced pathogen genomic analysis for the most effective rapid treatments and accurate global surveillance of infectious diseases. Palmona has rapidly made progress in the fingerprinting and comparison of pathogenic genomes, with the aim of making the comprehensive results available to physicians, healthcare facilities and government agencies.
Requirements:
Position Summary
The Palmona Pathogenomics Development Team is tasked with developing the Next Generation of healthcare and genomics Industry-focused compute capabilities. Our Team is an Industry-established and highly respected group of healthcare based technical solutions professionals.
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2012,Unknown / Non-Applicable
24,"Northrop Grumman Federal Credit Union (NGFCU)
2.6",Data Scientist,Remote,"As a Data Scientist you will apply your skills in programming, modeling, AI and machine learning to cutting-edge problem-solving in financial services using predictive and prescriptive analytics. You will work to develop the right set of questions and hypotheses, using the appropriate tools and skills to derive the best information to address both internal and external customer needs.
Our preferred candidate will bring technical expertise in data science, forecasting, and optimization methods and experience with implementation of ML. With a focus on developing and delivering machine learning and time series models and optimization solutions that drive business optimization, operational efficiency, and innovation.
The scope of work will be central to critical aspects of the credit union’s success, such as optimizing member engagement; evaluating credit risk, underwriting practices and product pricing; predicting delinquencies; targeted marketing; providing early warning signs of member attrition and actions needed; and developing or evaluating new techniques to serve the membership.
Show More
Report",#N/A,51 to 200 Employees,Non-profit Organisation,Finance,Banking & Lending,1946,$25 to $50 million (USD)
25,"Excella
4.0",Data Scientist,"Arlington, VA","Excella is a leading provider of Agile software development and data and analytics solutions to clients in the federal, commercial and non-profit sectors. We believe that great work leads to great things –- our experts measure success by the positive impact we make on our clients, community, and colleagues. We are growing fast and need passionate, innovative people who love working with technology and are ready to make an impact. Here's what you can expect from us:
Workplace sites look different for everyone – whether it's your home or the office, we believe in a flexible work/life balance that supports you regardless of your location. We offer a home office allowance that can be used for home office furniture/equipment, a daily pass for a coworking space, etc. Our commute reimbursement plan has you covered for whether you bike, Metro, or drive to work.
We offer top of industry medical, dental, and vision benefits with multiple options to choose from such as an employer-contributed health savings account, infertility coverage, and orthodontia so you can select the plan that works best for you.
Show More
Report",#N/A,201 to 500 Employees,Company - Private,Management & Consulting,Business Consulting,2002,$25 to $50 million (USD)
26,"Altak Group
2.0",Sr. Data Analyst,Remote,"Job Requirements:
Data Cleaning – identify erroneous data and determine an appropriate resolution
Analyze and assess the quality and integrity of the data
Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality
Understand the meaning/business context of data
Acquire data from internal or external data sources and maintain mapping documents of the files, databases/data systems.
Perform data analysis and data modeling to create a source to target mappings.
Evaluate risk from statistical information to determine the risk to operations or non-compliance.
Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
27,"Freddie Mac
3.4",Quantitative Analytics Professional - Data Scientist,"McLean, VA","At Freddie Mac, you will do important work to build a better housing finance system and you’ll be part of a team helping to make homeownership and rental housing more accessible and affordable across the nation.
Employees, contingent workers and visitors are no longer required to show proof of vaccination to be on-site. Effective January 2023, Freddie Mac’s hybrid work arrangement is 3 days in the office (specifically Tuesday, Wednesday & Thursday).
Position Overview:
The Data Science & Analytics under Freddie Mac’s Multifamily Division is currently seeking a Quantitative Analytics Professional to build data repository to facilitate modeling and analysis of risk evaluation.
Our Impact:
Time-type:Full time
Job Category:Research & Modeling
FLSA Status:Exempt
Show More
Report",#N/A,5001 to 10000 Employees,Company - Public,Finance,Banking & Lending,1970,$10+ billion (USD)
28,"Infinity Quest
3.9",Data Scientist,"Columbus, OH","8+ years of experience in working with large-scale, complex datasets to create/optimize Statistical, machine learning, deep learning, and/or optimization models.
Good hands-on experience with data querying languages (e.g. SQL and Hive), scripting languages (e.g. Python, R)
Must have relevant working experience in an analytical role involving data extraction and analysis.
Must have of relevant working experience in visualization tools (e.g. Microsoft Power BI).
Directly interact with customers to understand and help solve their business problems using the HCL solutions.
Make research and development contributions to our core service offerings
Interact and collaborate with engineers and product managers, relaying feedback from customers to continually develop our service quality
Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2006,Unknown / Non-Applicable
29,"MARVEL TECHNOLOGIES INC
3.7",SR. DATA ANALYST,Remote,"You will be responsible for providing the data and analytics support for enterprise data integration tasks, including ingestion, standardization, enrichment, mastering and assembly of data products for downstream applications.
What You'll Do:
Drive the Data Strategy and align it with constantly evolving business landscape
Work on all the data types across the enterprise including Customer, Dealer, Vehicle, Manufacturing, etc.
Evaluate, explore and select the right data platform technologies including Big Data, RDBMS & NoSQL to meet the analytics requirements
Provide openness to Data Quality issues and work with the business owners to fix the issues
Ability to work in different database technologies including Big Data / Hadoop (HDFS, MapReduce, Hive, Shark, Spark, etc.), RDBMS and NoSQL.
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Computer Hardware Development,#N/A,$5 to $25 million (USD)
30,"Danfoss
4.1",Data Science Co-op,"Cambridge, MA","Requisition ID: 33436
Job Location(s): Cambridge, MA, US
Job Description
Danfoss Power Solutions in Cambridge, MA is currently seeking a Data Science Co-op. This position will directly report to our Data Scientist and requires full-time commitment throughout both terms. The coop will be responsible for developing cutting edge data science solutions to enhance our capabilities.
Job Responsibilities
Responsibilities for this position include, but are not limited to, the following.
Pushing the boundaries of our current internal analytics capabilities by applying your machine learning expertise to address novel challenges
Show More
Report",#N/A,10000+ Employees,Company - Private,Manufacturing,Machinery Manufacturing,1933,$10+ billion (USD)
31,"DICK'S Sporting Goods
3.8",Data Scientist,"Melville, NY","WHAT YOU'LL DO IN THIS ROLE
The core data science team at DICK'S Sporting Goods is seeking a Data Scientist to support product teams within the technology organization. Currently the team has a variety of work ranging from natural language processing to supply chain optimization, and is looking to continue to expand its footprint.
Machine Learning Applications & Analyses
Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.
Build and put into deployment algorithmic solutions that focus on improving the customer’s experience and driving value both in-store and on our website.

Show More
Report",#N/A,10000+ Employees,Company - Public,Retail & Wholesale,Sporting Goods Stores,1948,$5 to $10 billion (USD)
32,"Augray
3.9",Junior Data Scientist,"Brookfield, WI","Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.


Show More
Report",#N/A,51 to 200 Employees,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,2014,Unknown / Non-Applicable
33,"Vetro Tech Inc
3.9",Data Scientist,"Los Angeles, CA","We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms

Show More
Report",#N/A,Unknown,Company - Public,Human Resources & Staffing,"Staffing, Recruitment & Subcontracting",#N/A,Unknown / Non-Applicable
34,"Wise Equation Solutions
4.9",Data Scientist,"Austin, TX","Skills relating to Mathematics/Statistics .
Graduate/Engineer/Post-Graduate with a huge interest in handling numbers.
Ability to understand all domains in businesses across various sectors.
A natural passion for numbers, business, coding, Analytics, and Artificial Intelligence, Machine Learning, visualization.
Good verbal and written communication skills.
Analyze large and complex data sets from multiple sources.
Develop and evaluate data analytics models, algorithms and solutions.
Implement algorithms to mine targeted data and the ability to convert data into a business story.
Translate business requirements into technical requirements.
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2006,$5 to $25 million (USD)
35,"Markel Corporation
3.9",Data Scientist,"Richmond, VA","What part will you play? If you’re looking for a place where you can make a meaningful difference, you’ve found it. Because, at Markel, the work you do gives people the confidence to move forward and seize opportunities. Whether you’re wild about horses, bananas for boats or driven by data, you’ll find your fit amongst our global community of optimists and problem-solvers. We’re always pushing each other to go further because we believe that when we realize our potential, we can help others reach theirs.

Join us and play your part in something special!

Markel Specialty Data & Analytics is a hub for data innovation at Markel. We offer a fun work environment that promotes innovative thinking and opportunities for career growth. As a member of our team, you will work closely with our customers and a team of data scientists, engineers, and analysts to enable the modernization and scalability of data solutions at Markel.

The Data Scientist role serves as a vital component in generating insights for underwriting professionals throughout Markel Specialty. This position will be responsible for developing predictive models, finding data insights, and utilizing development best practices for deploying and maintaining our analytics products. Experience using programming languages for data analysis (R and/or Python) to manipulate data, draw insights, and eventually write production ready code is critical.


Show More
Report",#N/A,5001 to 10000 Employees,Company - Public,Insurance,Insurance Carriers,1980,$10+ billion (USD)
36,"Zillow
3.9",Principal Data Scientist,Remote,"About the team
The Strategic Analytics & Operations team is responsible for a metrics driven assessment of whether we are on track for our strategy and data driven insights to evaluate new strategic opportunities. The team covers three key functions: (1) Business Intelligence, (2) Metrics Operations, and (3) Strategic Insights. We collaborate with our most senior leaders to determine what we should be doing as a company, ensure we are successfully accomplishing what we said we would do and executing course corrections.
About the role
As a Principal Data Scientist, you will help to ensure we are measuring and evaluating our strategy and execution. You will also derive data driven insights to support the highest levels of strategy questions at Zillow. You will be partnering with our Strategy & Partnerships, Business Operations, Strategic Finance and M&A, and Investor Relations teams to understand business questions and creatively solve complex business problems with analytic solutions. You will be navigating large and messy datasets, selecting and applying the appropriate methodologies (model building, A/B testing, forecasting, opportunity sizing), designing experimentation frameworks, and collaborating with Data Science, Econ, and Insights teams to complete the analysis. You will proactively and strategically use data to identify “big picture” opportunities for the company, and share your insights to influence product and business leaders across the company.
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In California, Colorado, Connecticut, Nevada, New York City and Washington the standard base pay range for this role is $165,600.00 - $264,500.00 Annually. This base pay range is specific to California, Colorado, Connecticut, Nevada, New York City and Washington and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location. Actual amounts will vary depending on experience, performance and location.
Show More
Report",#N/A,5001 to 10000 Employees,Company - Public,Real Estate,Real Estate,2005,$100 to $500 million (USD)
