,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
10,"Okaya infocom
4.0",Data Engineer,"Jersey City, NJ","Experience in Bigdata (Kafka, Elastic search, Logstash, Kibana)
Experience in Aws Managed services MSK, Glue, IAM etc
Experience in Hortonworks Data Platform or Cloudera Distribution stacks
AWS Development experience using these services ( RDS with Postgres SQL Experience, DynamoDb, Data Pipeline, Data Base Migration, AWS Kafka )
Experience in CDC process (Added Advantage if knowledge in Debezium or any CDC tools)
Required Experience in SQL or ORACLE ( Must),Data Modeling Concepts.
Required experience with Data Engineering and ETL/EDW Design Process and Practices.
Show More
Report",#N/A,Unknown,Self-employed,Information Technology,Information Technology Support Services,2006,Unknown / Non-Applicable
11,"Clairvoyant
4.1",Data Engineer,Remote,"Job type:FTE/W2
Location:Remote
What you’ll do:
Build and maintain data pipelines, data models, standardized datasets etc
Ingest data from multiple data sources (files, streaming, APIs) into our
datawarehouse
Work with stakeholders to understand requirements and implement efficient code to
accomplish the goals
Effectively gather input, ideas, and perspectives from developers, designers, and
product managers across the organization to identify opportunities for improvement,
collaboration, and impact















Show More
Report",#N/A,501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,2012,Unknown / Non-Applicable
12,Ehub Global,"(""Data Engineer"")",Remote,"Title: Data Engineer with SQL
Location: Remote(West Coast Only)
Duration: 12+ Months
ONLY W2 CANDIDATES
ABOUT THE ROLE:
Data Bricks experience required ADF experience required Azure Data Warehouse experience required.
Azure Cloud experience required. Managed healthcare experience required.
POSITION SUMMARY:
Show More
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
13,"Compunnel Inc.
4.2",Data Engineer,Remote,"Title : Data Engineer
Location : NC, TX
Required Skills:
)Top SKills: Informatica to Nifi (Understanding of workflow
Data migrations
Nice to Haves: Lambda experience
Note: This is the w2 requirement please don't apply for C2C, We can accept H1 Transfer as well.
Job Type: Full-time

Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Information Technology,Information Technology Support Services,1994,$100 to $500 million (USD)
14,Next Gen It,"Senior Data Integration Engineer – Charlotte, NC/New York/Chicago, IL","Charlotte, NC","Major Responsibilities:
Experience designing and developing Enterprise Data Warehouse solutions.
Demonstrated proficiency with Data Analytics, Data Insights
Proficient in writing SQL queries and programming including stored procedures and reverse engineering existing process
Leverage SQL, programming language (Python or similar) and/or ETL Tools (Azure Data Factory, Data Bricks, Talend and SnowSQL) to develop data pipeline solutions to ingest and exploit new and existing data sources.•
Perform code reviews to ensure fit to requirements, optimal execution patterns and adherence to established standards.
Show More
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
15,"Apolis
3.7",Sr. Data Engineer,"Atlanta, GA","Desired Qualifications & Experiences:
Five or more years’ experience in software engineering.
Five or more years’ experience in large scale RDBMS environments or Google BigQuery
Two or more years of Exadata experience OR Google BigQuery
Four or more years’ experience with Informatica PowerCenter or IICS
One or more years experience in Erwin
Experience in code automation (e.g. pattern based integration)
Experience in advanced SQL and PL/SQL techniques

Show More
Report",#N/A,501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,1996,$25 to $50 million (USD)
16,"Data Inc
3.8",Data Engineer- Hadoop,"Charlotte, NC","Position Summary:
Synthetic data engineer is the experienced professional who can bring together skills and technologies to be able design and develop solutions to deliver data required for training models/test applications. Candidate will be working with a team of resources using Python, Sqoop, pyspark to create the data in a most efficient manner. Candidate should have prior experience & knowledge in highly scalable production grade applications with a strong engineering acumen. Should be able to work in a collaborative, fast paced environment. Candidate must have knowledge and/or experience working with Hadoop ecosystem.
Skills:
• Advanced knowledge in Python Programming
• Familiarity with Faker module
• pyspark, Sqoop, Hadoop, Hive, Shell script, Hadoop Shell commands
• Good experience dealing with bulk data extracts and bulk data loads


Show More
Report",#N/A,501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,1983,$25 to $50 million (USD)
17,Mericaninc,Data Engineer,"Atlanta, GA","Job Role: Data engineer
Location: Hybrid model (Day 01 onsite)
Type: Contract
EXPERIENCE :
Python
Kafka or Kinesis
DevOps deployment model
AWS
Job Type: Contract
Show More
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
18,keasis Inc,Big Data Engineer,"Wilmington, DE","Big Data Engineer - (ETL/Data Warehousing/Java)
Wilmington, DE
6+ Month CTH
5 openings
Supporting big data platforms
Going through a modernization and data center migration
Moving from informatica tools to Java/Spark, big data, data modeling etc – Java is a MUST HAVE
Looking for strong sr devs with Java/Spark skillsets
Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19,DataPattern,Data Engineer,Remote,"Responsibilities:
Design, develop, and deploy scalable and efficient data pipelines using Scala and Spark to process and analyze large volumes of data.
Collaborate with cross-functional teams to understand data requirements, provide technical guidance, and implement data solutions that meet business needs.
Optimize and fine-tune data processing workflows to ensure high performance and reliability.
Implement and maintain data infrastructure on AWS, leveraging services such as Amazon EMR, Amazon S3, Amazon Glue, and AWS Lambda.
Monitor and troubleshoot data pipelines to identify and resolve issues promptly.
Develop and enforce data engineering best practices, coding standards, and documentation guidelines.

Show More
Report",#N/A,1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
20,Proits Hub LLC,Data Analytics Engineer,Remote,"JD and Details
Current location: Santa Clara Valley (Cupertino)
Position: Digital Marketing Data Analyst
Position Type: Hybrid - Long Term Contract
JD:
KEY QUALIFICATIONS
Business Skills
Experienced data scientist with 5+ years of experience developing data reporting solutions and strategy across digital marketing platforms and social ecosystems
Experience analyzing the launch of new products, services, or websites.
In-depth knowledge of digital analytics data, measurement, methodologies and industry standards.

Show More
Report",#N/A,1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
21,"BigLynx Computer Software
4.9",Data Engineer,"Redmond, WA","BigLynx, Inc is an American multinational technology corporation headquartered in Seattle, Washington, with operations in the United States, Canada, and India. The company began in 2016, as a product development company specializing in AI/ML Data Engineering in the Retail vertical space with its products warehouse & fast. Post Pandemic in 2022, BigLynx added a business division of boutique technology consulting, specializing inData Engineering, Full Stack , and Microsoft Dynamics helping clients build the next generation data platform and big data pipelines.
Data pipeline development: Design, build, and maintain scalable and efficient data pipelines to ingest, process, transform, and store structured and unstructured data from various sources.
Data integration: Integrate data from multiple systems and sources, ensuring data consistency, accuracy, and quality. Develop and maintain data connectors, APIs, and ETL processes to facilitate data movement and synchronization.
Data modeling and schema design: Design and implement data models, database schemas, and data structures that support efficient data storage and retrieval. Ensure data models align with business requirements and adhere to data governance and security policies.
Data transformation and processing: Develop data transformation logic and data processing workflows to cleanse, transform, and aggregate data for analysis, reporting, and visualization purposes.
Performance optimization: Identify and address performance bottlenecks and scalability issues in data pipelines and data platforms. Optimize query performance, data storage, and data processing capabilities.
Data quality and governance: Implement data quality checks and validation rules to ensure data accuracy, completeness, and consistency. Establish and enforce data governance practices, data privacy, and data security measures.
Data platform management: Administer and maintain data platforms, such as data warehouses, data lakes, or cloud-based data services. Monitor system health, ensure data availability and reliability, and troubleshoot issues.
Collaboration and teamwork: Collaborate with cross-functional teams, including data scientists, data analysts, and business stakeholders, to understand data requirements, provide data engineering expertise, and support their data-related needs.








Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
22,Kanini,Data Engineer,Remote,"About Kanini
Kanini provides Agile Software Development, Cloud Computing, Data Science, and Location Intelligence services to public and private organizations. We have successfully served our clients in government, finance, transportation, utility, and software industries since 2003.
Why you should join
Working at Kanini is flexible and personal. We are a highly motivated, collaborative team experimenting with the latest technologies. We are committed to everyone having a healthy work/life balance, and we provide extensive mentorship and training resources to help you succeed.
Kanini is looking for a Big Data Engineer who has a deep experience in Data Engineering, AWS, Python, Data Lakes.
Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23,Data Ninjas Inc.,Data Engineer Azure databricks,Remote,"Data Engineer - Databricks
For: CDW (Direct Client)
W2, Corp to Corp, W2 Contract Okay
Fully Remote
`
DESIRED SKILLS AND ABILITIES
Key Responsibilities
You will design, build and test cross cloud and on-premise data pipelines and leverage Azure Databricks for data processing.
Show More
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
24,"spar information systems
3.5",Azure Data Engineer,Remote,"Role: Sr Azure Data Engineer
Location: Remote
Duration: 3 Months Contract to hire Full Time (W2 Only)
Must have 11+ IT Experience
Required Skills:
3+ years of experience in data software development, programming languages and developing with big data technologies
2+ years of experience designing and building on existing and new data applications
2+ years of experience in Cloud DevOps concepts, Cloud Services and Architecture, and Azure/AWS/GCP DevOps Operational Framework
1+ years of experience in open-source data tools and frameworks, or one of the following: .net Core, asp.Net, Angular, or Express.
Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2012,$25 to $50 million (USD)
25,"Wisetek Providers, Inc
4.2",Principle Data Engineer,Remote,"** We do transfer / Sponsor visa
Role: Principle Data Engineer Duration: 6 months.
Looking for Senior candidates with 10+ years of experience. .
Required 3-5 years of experience with the following technologies:
o Hadoop, Python, Hive, SQL, Shell scripting.
o Apache Spark.
o NoSQL and relational databases.
Required 1-3 years of experience with the following technologies:
o Scheduling tools like Airflow / Tivoli Work scheduler.
o Working in Agile/Scrum environment.
o Jenkins or similar CICD tool, GitHub.




Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,$1 to $5 million (USD)
26,narwal,ETL Data Engineer,"Germantown, MD","Job Title: Data Analytics Sr. Developer
Location: Onsite 4x weekly (Wed WFH)
Germantown, MD / VA(Virginia) / DC(District of Columbia) / DE(Delaware) or PA(Pennsylvania)
Duration: 12 months
Employment Type: W2(Only)
Work Authorization: EAD, GC And US Citizen
Responsibilities:
Migrating DWH from on-prem to cloud, Google Cloud Platform (GCP) Big Query preferred.
Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27,"MARVEL TECHNOLOGIES INC
3.7",DATA ENGINEER,Remote,"Data Engineer
Primary Skills
SCALA, SPARK, SQL, HADOOP, AWS, HIVE, Spark SQL, HIVE QL, CICD (Continuous Integration/Continuous Delivery), VCS (GIT HUB)
Coding in Scala
Designing in of HADOOP ecosystem
Hands-on experience on AWS tools like EMR, EC2
Hands-on experience of SQL in Big Data: SQL, Spark SQL, Hive QL
Proficient in working with large data sets and pipelines
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Computer Hardware Development,#N/A,$5 to $25 million (USD)
28,"Leadstack Inc
4.3",Data Engineer,Remote,"LeadStack Inc. is an award winning, one of the nation's fastest growing, certified minority owned (MBE) staffing services provider of contingent workforce. As a recognized industry leader in contingent workforce solutions and Certified as a Great Place to Work, we're proud to partner with some of the most admired Fortune 500 brands in the world.
Title: Data Engineer with Retail Merchandising Analytics
Location: Remote
Duration:6+ months
Direct Client
Immediate interview
Top 3 skills: Retail merchandising analytics, Azure, Python
Job Description:











Show More
Report",#N/A,51 to 200 Employees,Company - Private,Human Resources & Staffing,HR Consulting,2016,Unknown / Non-Applicable
29,"CSpring
4.8",Sr. Data Engineer,"Carmel, IN","This is a great time to join our team at CSpring! Our team has an immediate opening for a full-time, Sr. Data Engineer. If the idea of working on challenging assignments with a team who is passionate about serving others and creating insights sounds exciting, this may just be the role you’ve been looking for!
Summary
As a CSpring Consultant, you will be a true partner to our clients, dedicated to making each client a raving fan, you will work with a team to develop state of the art solutions to business problems. You will interact with our clients and project teams, leverage your business and technical skills, discuss solutions with team members, and analyze client needs to develop important solutions.
CSpring Data Engineers are responsible for engaging in the design, development and maintenance of data platform and solutions. This includes the platform hosting data sets that support various business operations and enable data-driven decisions as well as the analytical solutions that provide visibility and decision support using data technologies. You will be responsible for administering data tooling, developing ETL/ELT pipelines, developing data integration solutions, resolving technical issues, and working with data scientists, business analysts, system administrators and data architects to ensure the platform meets business demands. This team member also ensures that solutions are scalable, include necessary monitoring, and adhere to best practices and guidelines. Senior Data Engineers also help mentor new team members and continues to grow their knowledge of new technologies.



Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,1996,Unknown / Non-Applicable
